0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:52 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:57 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:57 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:57 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:57 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:57 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:53:17 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:53:17 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:53:17 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:53:17 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:53:17 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:53:33 +0530] "GET /gamingsite/ HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:54:07 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:54:15 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:54:15 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:54:15 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:54:15 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:54:15 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:54:15 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:00:35 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8126
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:00:35 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:00:35 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:00:35 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:00:35 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:01:36 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5789
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:01:36 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:02:01 +0530] "GET /gamingsite/games HTTP/1.1" 200 12383
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:02:10 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 7932
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:02:10 +0530] "GET /gamingsite/CSS/favourite.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:02:50 +0530] "GET /gamingsite/gameDetails?game_id=17 HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:10:56 +0530] "GET /gamingsite/games HTTP/1.1" 200 12383
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:11:08 +0530] "GET /gamingsite/gameDetails?game_id=15 HTTP/1.1" 200 12593
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:13:36 +0530] "GET /gamingsite/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:13:36 +0530] "GET /gamingsite/dashboard.jsp HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:13:42 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:13:59 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:13:59 +0530] "GET /gamingsite/adminDashboard.jsp HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:13:59 +0530] "GET /gamingsite/CSS/admindash.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:05 +0530] "GET /gamingsite/editgame HTTP/1.1" 200 12815
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:05 +0530] "GET /gamingsite/CSS/gamesTable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:16 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:34 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:34 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8126
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:34 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:34 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:34 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
